78185,Courgent,31709.6
78188,Cravent,24459.1
78189,Crespières,33856.7
78190,Croissy-sur-Seine,37051.7
78192,Dammartin-en-Serve,25351.1
78193,Dampierre-en-Yvelines,32861.5
78194,Dannemarie,31704.6
78196,Davron,40044.6
78202,Drocourt,24164.3
78206,Ecquevilly,24626
78208,Élancourt,23650
78209,Émancé,27539
78217,Épône,24269.4
78220,Les Essarts-le-Roi,26675.2
78224,L'Étang-la-Ville,38881.9
78227,Évecquemont,29753.6
78230,La Falaise,26344.7
78231,Favrieux,26566.2
78233,Feucherolles,37028.9
78234,Flacourt,25859.6
78236,Flexanville,28819.3
78237,Flins-Neuve-Église,23920.4
78238,Flins-sur-Seine,24349.6
78239,Follainville-Dennemont,24058.9
78242,Fontenay-le-Fleury,24099.5
78245,Fontenay-Mauvoisin,28825.7
78246,Fontenay-Saint-Père,26336.7
78251,Fourqueux,40344.4
78255,Freneuse,21055.6
78261,Gaillon-sur-Montcient,27372.7
78262,Galluis,28754.6
78263,Gambais,28906.5
78264,Gambaiseuil,
78265,Garancières,28147.6
78267,Gargenville,23208.6
78269,Gazeran,28947.2
78276,Gommecourt,22946
78278,Goupillières,32055.3
78281,Goussonville,25984.4
78283,Grandchamp,26332.2
78285,Gressey,27437.1
78289,Grosrouvre,33480
78290,Guernes,24261.5
78291,Guerville,24018.6
78296,Guitrancourt,26037
78297,Guyancourt,23455.7
78299,Hardricourt,24412.3
78300,Hargeville,28056.5
78302,La Hauteville,31614
78305,Herbeville,35102.9
78307,Hermeray,28096.7
78310,Houdan,21991.3
78311,Houilles,26908.7
78314,Issou,22789.3
78317,Jambville,25848
78320,Jeufosse,23257.3
78321,Jouars-Pontchartrain,30631
78322,Jouy-en-Josas,33775
78324,Jouy-Mauvoisin,24702.9
78325,Jumeauville,27091.5
78327,Juziers,24831.7
78329,Lainville-en-Vexin,28331.5
78334,Lévis-Saint-Nom,31568.5
78335,Limay,18411
78337,Limetz-Villez,23404.7
78343,Les Loges-en-Josas,39000
78344,Lommoye,24915.6
