OBJECTID,N_SQ_EP,L_EP_MAJ,L_EP_MIN,C_CAINSEE,C_POSTAL,N_VOIE,C_SUF1,C_SUF2,C_SUF3,C_DESI,C_LIAISON,L_VOIE,C_NIV1,C_NIV2,C_NIV3,B_PUBLIC,C_GESTION,D_ANNEE_CR,B_SITE,B_MONUMENT,B_LOGISTIQ,L_INF_COMP,LIB_QL1,VAL_QL1,LIB_QL2,VAL_QL2,LIB_QL3,VAL_QL3,LIB_QN1,VAL_QN1,LIB_QN2,VAL_QN2,LIB_QN3,VAL_QN3,N_SQ_CO,N_SQ_AR,N_SQ_EE,B_LOCAL,B_TERRITOR,B_METROPOL,C_MET,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,N_SQ_IR
24,753001565,"JARDIN CASQUE D'OR","Jardin Casque d'Or",75120,75020,39,"b","NULL","NULL","RUE","DES","HAIES",15,151,15112,"O","M",1997,"NULL","NULL","NULL","NULL","37","N","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000020,750003152,"N","N","N","NULL","NULL","NULL","BEAUREGA","2017-05-03T16:26:00.000Z",750004581
25,753001587,"JARDIN PARTAGE PYTHON DUVERNOIS","Jardin partagé Python Duvernois",75120,75020,7,"NULL","NULL","NULL","RUE","NULL","HENRI DUVERNOIS",15,151,15113,"N","A",2009,"NULL","NULL","NULL","NULL","37","O","38","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000020,750004879,"N","N","N","NULL","NULL","NULL","BEAUREGA","2017-05-03T16:26:04.000Z",750004875
26,753001547,"JARDIN DE PERLIMPINPIN - PARC MARTIN LUTHER-KING","Jardin de Perlimpinpin - Parc Martin Luther-King",75117,75017,151,"NULL","NULL","NULL","RUE","NULL","CARDINET",15,151,15113,"N","A",2011,"NULL","NULL","NULL","NULL","37","N","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000017,750005378,"N","N","N","NULL","NULL","NULL","BEAUREGA","2017-05-03T16:26:04.000Z",750004866
27,753001507,"POTAGER DES OISEAUX","Potager des Oiseaux",75103,75003,1,"NULL","NULL","NULL","RUE","DES","OISEAUX",15,151,15113,"N","A",2009,"NULL","NULL","NULL","NULL","37","N","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000003,750000140,"N","N","N","NULL","NULL","NULL","BEAUREGA","2017-05-03T16:25:59.000Z",750004407
28,943005620,"ESPLANADE DES INVALIDES","Esplanade des Invalides",75107,75007,15,"NULL","NULL","NULL","RUE","NULL","FABERT",15,151,15112,"O","M",1978,"NULL","NULL","NULL","NULL","37","O","38","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000016,750002262,"O","O","O","NULL","BEAUREGA","2017-01-23T09:36:23.000Z","BEAUREGA","2017-05-03T16:30:21.000Z",750004471
29,753002734,"SQUARE DU QUAI DE LA SEINE","Square du Quai de la Seine",75119,75019,0,"NULL","NULL","NULL","QUAI","DE LA","SEINE",15,151,15112,"O","M",1989,"NULL","NULL","NULL","NULL","37","O","38","O","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000019,750005230,"NULL","NULL","NULL","NULL","NULL","NULL","BEAUREGA","2017-05-03T16:30:22.000Z",750004096
30,943005621,"JARDIN DE LA PLACE MOHAMED BOUAZIZI","Jardin de la place Mohamed Bouazizi",75114,75014,0,"NULL","NULL","NULL","PARC","NULL","MONTSOURIS",15,151,15112,"O","M",2011,"NULL","NULL","NULL","NULL","37","O","38","N","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",750001537,750000014,0,"O","N","N","NULL","BEAUREGA","2017-05-04T10:12:50.000Z","BEAUREGA","2017-05-04T10:25:43.000Z",750004833
31,943006165,"PARC DES HANETONS","Parc des Hanetons",94046,94700,0,"NULL","NULL","NULL","RUE","NULL","CARNOT",15,151,15112,"NULL","NULL",0,"NULL","NULL","NULL","NULL","37","NULL","38","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",940000111,0,940003388,"O","N","N","NULL","NULL","NULL","BEAUREGA","2017-05-03T15:35:33.000Z",940001487
32,923005230,"ESPACE VAN GENNEP","Espace Van Gennep",92014,92340,0,"NULL","NULL","NULL","RUE","NULL","ARNOUX",15,151,15112,"NULL","NULL",0,"NULL","NULL","NULL","NULL","37","NULL","38","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",920000053,0,0,"N","N","N","NULL","NULL","NULL","BEAUREGA","2017-05-03T15:35:30.000Z",920003000
33,933006144,"PARC DU CHÂTEAU DE L' ETANG","Parc du Château de l' etang",93006,93170,17,"NULL","NULL","NULL","RUE","DE","PANTIN",15,151,15112,"NULL","NULL",0,"NULL","NULL","NULL","NULL","37","NULL","38","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",930000094,0,930003420,"O","O","N","NULL","NULL","NULL","BEAUREGA","2017-05-03T15:35:34.000Z",930000678
