46,770000061,LES CUIZINES,Les Cuizines,77108,77500,38,NULL,NULL,NULL,Rue,de la,HAUTE BORNE,Culture et Loisirs,"Exposition, spectacles culturels",Salle de concert/spectacle,NULL,NULL,NULL,NULL,NULL,Taille/Envergure,NULL,NULL,NULL,NULL,NULL,Capacité d'acceuil,NULL,NULL,NULL,NULL,NULL,770001522,0,0
47,752002557,CENTRE MATERNEL,Centre Maternel,75114,75014,55,NULL,NULL,NULL,Rue,NULL,SARRETTE,Culture et Loisirs,"Apprentissage, Pratique amateur",Ecole centre de loisirs,Oui,Municipalité/Commune,NULL,NULL,NULL,Catégorie centre de loisirs,1,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,750001537,750000014,750001839
48,753000864,VICKING STUDIO COMPAGNIE,Vicking Studio Compagnie,75117,75017,9,NULL,NULL,NULL,Rue,NULL,FOURCROY,Culture et Loisirs,"Apprentissage, Pratique amateur",Studio d'enregistrement,Non,NULL,NULL,NULL,NULL,Catégorie centre de loisirs,NULL,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,750001537,750000017,0
49,950000029,LA CAVE DIMIERE,La cave Dimière,95018,95100,107,NULL,NULL,NULL,Rue,NULL,PAUL VAILLANT COUTURIER,Culture et Loisirs,"Exposition, spectacles culturels",Salle de concert/spectacle,NULL,NULL,NULL,NULL,NULL,Taille/Envergure,NULL,NULL,NULL,NULL,NULL,Capacité d'acceuil,NULL,NULL,NULL,NULL,NULL,950001524,0,0
50,923001381,L'ENTREPONT,L'Entrepont,92040,92130,24,NULL,NULL,NULL,Chemin,NULL,ACCES A LA GARE,Culture et Loisirs,"Information, Pratique et animation culturelle","Centre culturel, Maison de la Culture, Centre socio-culturel",NULL,NULL,NULL,NULL,NULL,Exploitant,NULL,Art et Essai (O/N),N,NULL,NULL,Nombre de salles,NULL,Capacité d'acceuil,NULL,NULL,NULL,920000041,0,0
51,923000228,BIBLIOTHÈQUE ANNEXE LIONEL TERRAY,Bibliothèque Annexe Lionel Terray,92002,92160,164,bis,NULL,NULL,Avenue,NULL,KENNEDY,Culture et Loisirs,Mémoire et documentation,"Bibliothèque, Discothèque, Vidéothèque, Médiathèque",NULL,NULL,NULL,NULL,NULL,Catégorie bibliothèque,NULL,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,920000218,0,0
52,753000638,GALERIE COLLECTION ATELIERS D'ART DE FRANCE,Galerie Collection Ateliers d'Art de France,75103,75003,4,NULL,NULL,NULL,Rue,de,THORIGNY,Culture et Loisirs,"Exposition, spectacles culturels","Salle d'exposition, Galerie d'art",Non,NULL,NULL,NULL,NULL,Taille/Envergure,NULL,Structure permanente (O/N),1,NULL,NULL,Capacité d'acceuil,NULL,NULL,NULL,NULL,NULL,750001537,750000003,0
53,933009050,STUDIO D'ENREGISTREMENT JOHN LENNON,Studio d'enregistrement John Lennon,93001,93300,27,bis,NULL,NULL,Rue,NULL,LOPEZ ET JULES MARTIN,Culture et Loisirs,"Apprentissage, Pratique amateur",Studio d'enregistrement,NULL,NULL,NULL,NULL,NULL,Catégorie centre de loisirs,NULL,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,930000074,0,0
54,752002450,CENTRE MATERNEL ET ELÉMENTAIRE,Centre Maternel et Elémentaire,75112,75012,8,NULL,NULL,NULL,Avenue,NULL,LAMORICIERE,Culture et Loisirs,"Apprentissage, Pratique amateur",Ecole centre de loisirs,Oui,Municipalité/Commune,NULL,NULL,NULL,Catégorie centre de loisirs,4,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,750001537,750000012,750004065
55,752002885,CENTRE MATERNEL,Centre Maternel,75120,75020,24,NULL,NULL,NULL,Rue,NULL,RETRAIT,Culture et Loisirs,"Apprentissage, Pratique amateur",Ecole centre de loisirs,Oui,Municipalité/Commune,NULL,NULL,NULL,Catégorie centre de loisirs,1,NULL,NULL,NULL,NULL,Nombre d'inscrits,NULL,NULL,NULL,NULL,NULL,750001537,750000020,750004423
56,770000068,THEATRE DE CHELLES,Théâtre de Chelles,77108,77500,9,NULL,NULL,NULL,Place,des,MARTYRS DE CHATEAUBRIANT,Culture et Loisirs,"Exposition, spectacles culturels",Théâtre,NULL,NULL,NULL,NULL,NULL,Taille/Envergure,NULL,NULL,NULL,NULL,NULL,Capacité d'acceuil,NULL,NULL,NULL,NULL,NULL,770001522,0,0
